uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
161,https://www.naukri.com/job-listings-Opening-IN-AUTO-OEM-FOR-Hr-am-dm-Gujarat-Location-INNOVATION-TRIGGERS-MGMT-PRIVATE-LIMITED-Mehsana-6-to-10-years-020617002105?src=jobsearchDesk&sid=14965021182418&xp=12,Opening IN AUTO OEM FOR Hr-am/dm Gujarat Location,Opening IN AUTO OEM FOR Hr-am/dm Gujarat Location,INNOVATION TRIGGERS MGMT PRIVATE LIMITED,Mehsana,6-10 yrs,HR- IR- Labour Laws- Contract Management- Statutory Compliances," 1.	Candidate Name	 2.	Qualification	 3.	Aggregate %	GRADUATION-60% 12TH -60% 10TH ...",600000 - 1600000 P.A.,1
162,https://www.naukri.com/job-listings-Konnect-HR-Hiring-for-Medical-Representative-in-Top-Pharma-Company-Konnect-HR-Delhi-2-to-4-years-030617002348?src=jobsearchDesk&sid=14965021182418&xp=13,Konnect HR Hiring for Medical Representative in Top Pharma Company,Konnect HR Hiring for Medical Representative in Top Pharma Company,Konnect HR,Delhi,2-4 yrs,sales- business development- selling, ,Not disclosed,0
163,https://www.naukri.com/job-listings-Internship-summer-Training-in-HR-Marketing-Delhi-9718702052-RM-Global-Consulting-Delhi-0-to-5-years-181116003150?src=jobsearchDesk&sid=14965021182418&xp=14,Internship/summer Training in HR/ Marketing ||  || Delhi || 9718702052,Internship/summer Training in HR/ Marketing ||  || Delhi || 9718702052,RM Global Consulting,Delhi,0-5 yrs,sales- marketing- fresher- communication- intern- training- BDM- BDE- mba..., ,Not disclosed,0
164,https://www.naukri.com/job-listings-Human-Resource-Executive-talent-Lead-Sri-Shakthi-Institute-of-Engineering-and-Technology-Coimbatore-www-siet-ac-in-Coimbatore-5-to-10-years-290417900285?src=jobsearchDesk&sid=14965021182418&xp=15,Human Resource Executive (talent Lead),Human Resource Executive (talent Lead),Sri Shakthi Institute of Engineering and Technology Coimbatore. www.siet.ac.in,Coimbatore,5-10 yrs,Recruitment- Talent management- talent acquisition- hiring- hr- sourcing, ,Not disclosed,1
165,https://www.naukri.com/job-listings-Sr-HR-Lead-technology-ACI-INFOTECH-Hyderabad-7-to-11-years-020617005728?src=jobsearchDesk&sid=14965021182418&xp=16,Sr. HR Lead (technology),Sr. HR Lead (technology),ACI INFOTECH,Hyderabad,7-11 yrs,HR Policies- Recruitment- Training- Performance Management- Rewards- Talent..., Job description :  Position summary  Industry :Â   Information Technology ...,400000 - 850000 P.A.,1
166,https://www.naukri.com/job-listings-Senior-Executive-lead-HR-Operations-Nitor-Infotech-Pvt-Ltd-Pune-4-to-7-years-020617001907?src=jobsearchDesk&sid=14965021182418&xp=17,Senior Executive/lead- HR Operations,Senior Executive/lead- HR Operations,Nitor Infotech Pvt. Ltd,Pune,4-7 yrs,HR Operations,We at Nitor Infotech are always on hunt for some best talents in the IT industry & keeping with our ...,Not disclosed,1
167,https://www.naukri.com/job-listings-International-Voice-Process-for-Freshers-0-1-Year-Saida-hr-9840326656-Square-One-Infosolutions-Private-Limited-Chennai-0-to-1-years-020317002167?src=jobsearchDesk&sid=14965021182418&xp=18,International Voice Process for Freshers(0-1 Year) Saida(hr)9840326656,International Voice Process for Freshers(0-1 Year) Saida(hr)9840326656,Square One Infosolutions Private Limited,Chennai,0-1 yrs,BPO- International Voice Process- Excellent communication- CBSE...,Â Job Description:   International Voice Process Openings for Freshers(0-1 year ...,175000 - 200000 P.A.,1
168,https://www.naukri.com/job-listings-Hiring-HR-Freshers-Male-Females-for-Internship-Nest-Global-Consulting-Services-Hyderabad-0-to-3-years-270217006679?src=jobsearchDesk&sid=14965021182418&xp=19,Hiring HR Recruiters - Freshers ( Male / Females) for Internship,Hiring HR Recruiters - Freshers ( Male / Females) for Internship,Nest Global Consulting Services,Hyderabad,0-3 yrs,HR- HR Recruiter- HR fresher- IT recruiter- HR trainee...,  Hiring Freshers as HR Recruiters  Male / Female  Candidates should be ...,Not disclosed,0
169,https://www.naukri.com/job-listings-HR-Manager-HR-Assistant-Modi-Group-Ahmedabad-2-to-6-years-110517008980?src=jobsearchDesk&sid=14965021182418&xp=20,HR Manager / HR Assistant,HR Manager / HR Assistant,Modi Group,Ahmedabad,2-6 yrs,HR- Recruitment- Salary- Incentives- Human Resource Management...,Job Description   1. Act as HR for the company and assume total responsibility for the function. ...,125000 - 250000 P.A.,0
170,https://www.naukri.com/job-listings-HR-Administration-ONLY-Female-Candidates-Akraya-Solutions-Pvt-Ltd-Pune-2-to-4-years-020617006801?src=jobsearchDesk&sid=14965021182418&xp=21,HR Administration - ONLY Female Candidates,HR Administration - ONLY Female Candidates,Akraya Solutions Pvt Ltd,Pune,2-4 yrs,HR Administration- General Administration,General HR/Admin   Excellent communication         Hands on general admin related activities. ...,Not disclosed,1
