link, desig, details, org, loc, exp, keyskills, descl, salary 
https://www.naukri.com/job-listings-SOX-Information-Technology-WNS-GLOBAL-SERVICES-PRIVATE-LIMITED-Mumbai-3-to-6-years-120517003535?src=jobsearchDesk&sid=14955528616707&xp=4,SOX - Information Technology,SOX - Information Technology,WNS GLOBAL SERVICES PRIVATE LIMITED,Mumbai,3-6 yrs,Auditing IT SOX Compliance Business Reporting testing SOX IT Oracle...,Candidate will be a member of the practice which manages IT and SOX compliance for the WNS group. ...,Not disclosed
https://www.naukri.com/job-listings-Manager-IT-Nava-Bharat-Ventures-Limited-Samalkot-10-to-18-years-190517004168?src=jobsearchDesk&sid=14955528616707&xp=5,Manager IT,Manager IT,Nava Bharat Ventures Limited,Samalkot,10-18 yrs,Visual Studio SQL Server .Net Web Technologies Smart Card...,Manager-IT: B.Tech - Information Technology / MCA / M.Sc. (Computer Science) having 10-15 years ...,Not disclosed
https://www.naukri.com/job-listings-Dy-General-Manager-Information-Technology-Sun-Pharmaceutical-Industries-Ltd-Mumbai-10-to-15-years-280417006765?src=jobsearchDesk&sid=14955528616707&xp=6,Dy General Manager - Information Technology,Dy General Manager - Information Technology,Sun Pharmaceutical Industries Ltd,Mumbai,10-15 yrs,Project Management Business Solutions Dy Business Applications...,      Business Applications Project Management and Support Management. ...,Not disclosed
https://www.naukri.com/job-listings-Director-AVP-IT-SG-Analytics-Pvt-Ltd-Pune-Kharadi-10-to-14-years-090517008409?src=jobsearchDesk&sid=14955528616707&xp=7,Director/ AVP- IT,Director/ AVP- IT,SG Analytics Pvt. Ltd.,Pune(Kharadi),10-14 yrs,Information Security Management IT Audit Cism IT Risk Management Cisa...,Reports to: Chief Operating Officer  General description of the rle: the IT Head is in charge of the ...,Not disclosed
https://www.naukri.com/job-listings-Walkin-Interviews-for-Service-Desk-l1-l2-l3-Roles-20th-May-2017-Microland-Limited-Chennai-5-to-10-years-160517007832?src=jobsearchDesk&sid=14955528616707&xp=8,Walkin Interviews for Service Desk (l1/l2/l3) Roles -20th May 2017,Walkin Interviews for Service Desk (l1/l2/l3) Roles -20th May 2017,Microland Limited,Chennai,5-10 yrs,service desk it helpdesk helpdesk it service desk service desk analyst...,Please find the details of Walk-In interviews for Service Desk analyst(L1/L2/L3) roles. Please apply if ...,500000 - 1000000 P.A.
https://www.naukri.com/job-listings-Operations-Engineer-Arnold-Consulting-Private-Limited-Bengaluru-2-to-4-years-230517006236?src=jobsearchDesk&sid=14955528616707&xp=9,Operations Engineer,Operations Engineer,Arnold Consulting Private Limited,Bengaluru,2-4 yrs,Office 365 IT Operations Active Directory Customer Support...,  2 to 4 years experience working as a team member of a global IT operations team or an IT ...,Not disclosed
https://www.naukri.com/job-listings-Information-Technology-MIS-Unix-linux-Systems-Administration-Marvell-India-Pvt-Ltd-Bengaluru-5-to-8-years-290417900660?src=jobsearchDesk&sid=14955528616707&xp=10,Information Technology / MIS - Unix/linux Systems Administration,Information Technology / MIS - Unix/linux Systems Administration,Marvell India Pvt Ltd,Bengaluru,5-8 yrs,Unix System Administrator PHP Unix Linux Perl Solaris Shell scripting...,,Not disclosed
https://www.naukri.com/job-listings-Java-Developer-iQuest-Management-Consultants-Pvt-Ltd-Pune-6-to-10-years-220517900584?src=jobsearchDesk&sid=14955528616707&xp=11,Java Developer,Java Developer,iQuest Management Consultants Pvt Ltd,Pune,6-10 yrs,J2Ee Oracle Struts SQL TIBCO Technical support Information technology...,Position Summary As a Commerce Java Developer you will work individually and within teams to analyze ...,Not disclosed
https://www.naukri.com/job-listings-Recruitment-Trainees-freshers-Focus-Management-Consultants-Pvt-Ltd-Mumbai-0-to-0-years-020816006278?src=jobsearchDesk&sid=14955528616707&xp=12,Recruitment Trainees-freshers,Recruitment Trainees-freshers,Focus Management Consultants Pvt Ltd.,Mumbai,0-0 yrs,Recruitment Head Hunting Referencing Onboarding Hiring HR...,We are hiring Recruitment Trainees-Freshers for our Mumbai branch located at goregaon west.  Job ...,Not disclosed
https://www.naukri.com/job-listings-Required-Information-Technology-Marketing-Manager-NSS-Enterprises-Delhi-NCR-Badarpur-1-to-5-years-100517005408?src=jobsearchDesk&sid=14955528616707&xp=13,Required Information Technology Cum Marketing Manager,Required Information Technology Cum Marketing Manager,NSS Enterprises,Delhi NCR(Badarpur),1-5 yrs,Information Technology software computer science computers...,,Not disclosed
https://www.naukri.com/job-listings-HCL-Technologies-Fresher-Walk-In-Faridabad-24th-May-2017-HCL-Technologies-Limited-Delhi-NCR-Noida-0-to-0-years-190517000616?src=jobsearchDesk&sid=14955528616707&xp=14,HCL Technologies Fresher Walk In @ Faridabad- 24th May 2017,HCL Technologies Fresher Walk In @ Faridabad- 24th May 2017,HCL Technologies Limited,Delhi NCR Noida,0-0 yrs,B Tech M Tech MCA Fresher development testing SAP Oracle Networking...,  ***Only Walk In candidates will be considered. It's a free walk in (no registration ...,250000 P.A. Earn upto 680000 over and above your grow...
https://www.naukri.com/job-listings-HCL-Technologies-Fresher-Walk-In-Chennai-on-18th-19th-May-2017-HCL-Technologies-Limited-Bengaluru-Chennai-0-to-0-years-160517002277?src=jobsearchDesk&sid=14955528616707&xp=15,HCL Technologies Fresher Walk In@ Chennai on 18th & 19th May 2017,HCL Technologies Fresher Walk In@ Chennai on 18th & 19th May 2017,HCL Technologies Limited,Bengaluru Chennai,0-0 yrs,B Tech M Tech MCA Fresher development testing SAP Oracle Networking...,  ***Only Walk In candidates will be considered. It's a free walk in (open campus- no ...,250000 P.A. To be increased upto 45% upon probation c...
https://www.naukri.com/job-listings-IT-Manager-Micro-Plastics-Pvt-Ltd-Bengaluru-10-to-15-years-170417005044?src=jobsearchDesk&sid=14955528616707&xp=16,IT Manager,IT Manager,Micro Plastics Pvt Ltd,Bengaluru,10-15 yrs,IT Management information technology management SAP erp,Candidates with 12-15 Years of Experience in IT with SAP background. Proficent in handling PC's  ...,1000000 - 1200000 P.A.
https://www.naukri.com/job-listings-General-Manager-Information-Technology-Magna-Health-Solutions-Bengaluru-Rajaji-Nagar-10-to-15-years-140417003022?src=jobsearchDesk&sid=14955528616707&xp=17,General Manager - Information Technology,General Manager - Information Technology,Magna Health Solutions,Bengaluru(Rajaji Nagar),10-15 yrs,Java C++ .Net Flex Software Development Html5 GM Architecting...,General Manager-Software Development (GMSD) to lead a  team of 40+ engineers  (Java ...,Not disclosed
https://www.naukri.com/job-listings-Information-Technology-Services-Mechatronics-Engineer-Fahad-Al-Maghayer-CO-Saudi-Arabia-5-to-10-years-120417008029?src=jobsearchDesk&sid=14955528616707&xp=18,Information Technology & Services/ Mechatronics Engineer,Information Technology & Services/ Mechatronics Engineer,Fahad Al Maghayer. CO,Saudi Arabia,5-10 yrs,Renewable Energy Information Technology Mechatronics Engineering...,1.Candidates must have experience in robots ( Mechanical Engineer Electronic Engineer Design Engineer ...,Not disclosed
https://www.naukri.com/job-listings-Information-Technology-Helpdesk-MICROCHIP-INFOTECH-SYSYEMS-PRIVATE-LIMITED-Noida-2-to-5-years-150517001057?src=jobsearchDesk&sid=14955528616707&xp=19,Information Technology Helpdesk,Information Technology Helpdesk,MICROCHIP INFOTECH SYSYEMS PRIVATE LIMITED,Noida,2-5 yrs,Technical Helpdesk Hardware Monitoring MIS Reporting Helpdesk Executive,,Not disclosed
https://www.naukri.com/job-listings-Vice-President-Information-Technology-System-TalPro-Delhi-NCR-15-to-20-years-240816900930?src=jobsearchDesk&sid=14955528616707&xp=20,Vice President - Information Technology System,Vice President - Information Technology System,TalPro,Delhi NCR,15-20 yrs,Vice President Information Technology designing IT software applications...,(A) Particulars of the Vacancy  I. Position Level : Vice President - Information Technology ...,Not disclosed
https://www.naukri.com/job-listings-Sr-IT-Executive-Travel-Company-Integrated-Conferences-Events-Pvt-Ltd-Gurgaon-1-to-3-years-280317006420?src=jobsearchDesk&sid=14955528616707&xp=21,Sr. IT Executive @ Travel Company,Sr. IT Executive @ Travel Company,Integrated Conferences & Events Pvt. Ltd.,Gurgaon,1-3 yrs,IT Software Neworking web development Hardware & software...,,175000 - 225000 P.A.
https://www.naukri.com/job-listings-Director-Global-IT-IEEE-Bengaluru-10-to-15-years-170517008296?src=jobsearchDesk&sid=14955528616707&xp=22,Director Global IT,Director Global IT,IEEE,Bengaluru,10-15 yrs,IT Project Management Project Execution Cio Technology Solutions...,  If it impacts technology IEEE has it covered. We publish technical journals organize ...,Not disclosed
https://www.naukri.com/job-listings-Accounts-Executive-Manager-at-Bangalore-Source-IT-Bengaluru-8-to-13-years-220517008175?src=jobsearchDesk&sid=14955528616707&xp=23,Accounts Executive / Manager  at Bangalore,Accounts Executive / Manager  at Bangalore,Source IT,Bengaluru,8-13 yrs,IT Budgeting Information Technology Software Implementation IT Executive...,,225000 - 450000 P.A.
https://www.naukri.com/job-listings-Compliance-Program-hyd-4-yrs-mnc-I-Square-Soft-Hyderabad-4-to-7-years-220517001442?src=jobsearchDesk&sid=14955528616707&xp=24,Compliance Program_hyd_4+yrs_mnc,Compliance Program_hyd_4+yrs_mnc,I Square Soft,Hyderabad,4-7 yrs,PCI DSS Information Security IT Audit SOC Bcms Access Management...,Hi  We have Immediate openings for Compliance Program with our Clienta top MNC for Hyderabad ...,Not disclosed
https://www.naukri.com/job-listings-General-Manager-Information-Technology-BFSI-GlobalHunt-Kerala-15-to-18-years-060417901808?src=jobsearchDesk&sid=14955528616707&xp=25,General Manager - Information Technology - BFSI,General Manager - Information Technology - BFSI,GlobalHunt,Kerala,15-18 yrs,General Manager IT Head Information Technology IT Operations...,Exciting opportunity to work with one of the leading BFSI firms as a GM-IT.  Looking for ...,Not disclosed
https://www.naukri.com/job-listings-Vice-President-IT-Audit-Agile-SDLC-Methodology-Premium-Mumbai-8-to-12-years-200517900406?src=jobsearchDesk&sid=14955528616707&xp=26,Vice President - IT Audit - Agile & SDLC Methodology,Vice President - IT Audit - Agile & SDLC Methodology,Premium,Mumbai,8-12 yrs,Auditing Internal Audit Information Technology IT Audit Compliance...,IT audit team undertakes Information Technology (IT) audits across the Group. IT Audit is responsible ...,Not disclosed
https://www.naukri.com/job-listings-AGM-GM-IT-Leading-Company-Mumbai-Hector-and-Streak-Consulting-Pvt-Ltd-Mumbai-12-to-18-years-160517001016?src=jobsearchDesk&sid=14955528616707&xp=27,AGM / GM IT   - Leading Company - Mumbai,AGM / GM IT   - Leading Company - Mumbai,Hector and Streak Consulting Pvt Ltd,Mumbai,12-18 yrs,Networking WAN LAN IT Budgeting GM IT IT Infrastructure...,Responsible for Information Technology function as Process Owner.   	Is responsible for ...,Not disclosed
