link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Immediate-Requirement-for-Talent-Acquisition-Specialist-Mumbai-Technosoft-Global-Services-Pvt-Ltd-Mumbai-7-to-10-years-050318005316?src=jobsearchDesk&sid=15217233589839&xp=8&px=58,Immediate Requirement for Talent Acquisition Specialist @ Mumbai,Immediate Requirement for Talent Acquisition Specialist @ Mumbai,Technosoft Global Services Pvt Ltd,Mumbai,7-10 yrs,it recruitment- bulk hiring- it skills- communication skills..., ,Not disclosed,2018-03-21,7,10,0,0
https://www.naukri.com/job-listings-Head-Digital-Marketing-IT-Software-Mumbai-3-to-6-years-050318900545?src=jobsearchDesk&sid=15217233589839&xp=9&px=58,Head - Digital Marketing - IT Software,Head - Digital Marketing - IT Software,Premium,Mumbai,3-6 yrs,digital marketing- marketing analytics- crm- marketing budget...,Job Description :  - Conceptualizing- designing & delivering Marketing Analytics- ...,Not disclosed,2018-03-06,3,6,0,0
https://www.naukri.com/job-listings-Electronic-Data-Interchange-Analyst-IT-Company-Jaipur-Shanti-Consultants-Jaipur-1-to-2-years-050318001757?src=jobsearchDesk&sid=15217233589839&xp=10&px=58,Electronic Data Interchange  Analyst - IT Company - Jaipur,Electronic Data Interchange  Analyst - IT Company - Jaipur,Shanti Consultants,Jaipur,1-2 yrs,EDI- X12- Jaipur Jobs- Flat file.834- ANSI file format- Healthcare..., ,200000 - 500000 P.A. Night Allowance will be provid...,2018-03-05,1,2,200000,500000
https://www.naukri.com/job-listings-Asst-Property-Manager-IT-Park-Personnel-Search-Services-Pvt-Ltd-Mumbai-6-to-9-years-021117005898?src=jobsearchDesk&sid=15217233589839&xp=11&px=58,Asst Property Manager - IT Park,Asst Property Manager - IT Park,Personnel Search Services Pvt Ltd,Mumbai,6-9 yrs,Preventive Maintenance- Administration- Customer Service...,  Provide a comprehensive Property Management service to ensure that all amenities are resourced ...,Not disclosed,2018-02-20,6,9,0,0
https://www.naukri.com/job-listings-Mega-Hiring-for-Technical-Support-Engineer-Profile-in-Top-MNC-IT-Firms-Y-C-Padhmanaba-Bengaluru-0-to-5-years-020318000272?src=jobsearchDesk&sid=15217233589839&xp=12&px=58,Mega Hiring for Technical Support Engineer Profile in Top MNC IT Firms,Mega Hiring for Technical Support Engineer Profile in Top MNC IT Firms,Y.C.Padhmanaba,Bengaluru,0-5 yrs,technical support- tech support- technical support engineer...,  *CANDIDATES PLEASE NOTE : CALLS HAVE TO BE MADE TO OUR DESIGNATED RECRUITMENT CONSULTANTS ...,200000 - 500000 P.A. Salary Hikes / Incentives / Ni...,2018-03-02,0,5,200000,500000
https://www.naukri.com/job-listings-Principal-Engineer-IT-Product-Firm-Bengaluru-11-to-14-years-010318901551?src=jobsearchDesk&sid=15217233589839&xp=13&px=58,Principal Engineer - IT Product Firm,Principal Engineer - IT Product Firm,Premium,Bengaluru,11-14 yrs,Architecture- software development- JEE- Web Application- Data structures...,Key responsibilities:  - Be a strong thought leader and clearly communicate your ideas ...,Not disclosed,2018-03-05,11,14,0,0
https://www.naukri.com/job-listings-Channel-Sales-Manager-security-Networking-Bangalore-Novamentis-IT-Consulting-India-Pvt-Ltd-Bengaluru-4-to-7-years-210318001279?src=jobsearchDesk&sid=15217233589839&xp=14&px=58,Channel Sales Manager (security & Networking) - Bangalore,Channel Sales Manager (security & Networking) - Bangalore,Novamentis IT Consulting India Pvt. Ltd.,Bengaluru,4-7 yrs,channel sales management- channel sales strategies- sales strategy..., ,400000 - 900000 P.A.,2018-03-21,4,7,400000,900000
https://www.naukri.com/job-listings-Hiring-for-legal-us-Contract-Executive-for-our-Logic-Planet-Inc-hyde-Logicplanet-IT-Services-India-Pvt-Ltd-Hyderabad-1-to-5-years-190318003698?src=jobsearchDesk&sid=15217233589839&xp=15&px=58,Hiring for "legal/us Contract Executive" for our Logic Planet Inc-hyde,Hiring for "legal/us Contract Executive" for our Logic Planet Inc-hyde,Logicplanet IT Services (India) Pvt. Ltd.,Hyderabad,1-5 yrs,legal advice- agreements- drafting- legal issues- procurement contracts- it...,Greeting from Logic Planet!!  We are hiring for Legal/US Contract Executive for our Logic Planet ...,Not disclosed,2018-03-19,1,5,0,0
https://www.naukri.com/job-listings-Urgently-Required-Account-Manager-Centraprise-IT-Solutions-Pvt-Ltd-Limited-Hyderabad-Nizampet-6-to-10-years-160318009220?src=jobsearchDesk&sid=15217233589839&xp=16&px=58,Urgently Required Account Manager,Urgently Required Account Manager,Centraprise IT Solutions Pvt Ltd. Limited,Hyderabad(Nizampet),6-10 yrs,Sales- Account Management- Profit- Account Development- Managed Services...,Hello- We are looking for Account Development Manager- who will be responsible for directly managing ...,Not disclosed,2018-03-16,6,10,0,0
https://www.naukri.com/job-listings-Openings-in-Centraprise-nizampet-Centraprise-IT-Solutions-Pvt-Ltd-Limited-Hyderabad-Nizampet-5-to-10-years-160318007494?src=jobsearchDesk&sid=15217233589839&xp=17&px=58,Openings in Centraprise-nizampet ,Openings in Centraprise-nizampet ,Centraprise IT Solutions Pvt Ltd. Limited,Hyderabad(Nizampet),5-10 yrs,Account manager- US IT Staffing- infosys- wipro- apex,********Immediate Hiring ********Account Manager (US IT Staffing)************Full time opening ...,Not disclosed,2018-03-16,5,10,0,0
